,datetime,description,icon
0,2024-03-11,Partly cloudy throughout the day.,partly-cloudy-day
1,2024-03-12,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-03-13,Partly cloudy throughout the day with rain.,rain
3,2024-03-14,Partly cloudy throughout the day.,partly-cloudy-day
4,2024-03-15,Clear conditions throughout the day.,clear-day
5,2024-03-16,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2024-03-17,Becoming cloudy in the afternoon with storms possible.,partly-cloudy-day
7,2024-03-18,Partly cloudy throughout the day with storms possible.,rain
