,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2024-03-11,27.6,19.0,22.3,28.3,19.0,22.4,17.3,74.3,0.0,0.0,0.0,rain,0,0,28.4,22.5,150.5,1019.8,59.3,10.2,176.1,15.2,7,10,2024-03-11T06:06:48,2024-03-11T18:25:48,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2024-03-12,27.1,17.5,21.4,28.0,17.5,21.5,17.1,77.7,0.0,0.0,0.0,,0,0,23.8,20.6,132.7,1020.2,62.6,9.3,165.8,14.2,6,10,2024-03-12T06:07:13,2024-03-12T18:24:51,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2024-03-13,30.9,20.0,23.4,32.1,20.0,23.6,19.0,77.6,0.2,100.0,8.33,rain,0,0,18.0,19.2,139.4,1018.8,72.8,8.9,175.9,15.2,6,10,2024-03-13T06:07:38,2024-03-13T18:23:53,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
3,"São Paulo, SP, Brasil",2024-03-14,32.4,21.0,26.1,34.2,21.0,26.9,19.8,70.8,0.0,0.0,0.0,,0,0,16.2,18.2,94.6,1017.4,46.0,8.4,175.9,15.4,6,30,2024-03-14T06:08:03,2024-03-14T18:22:55,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
4,"São Paulo, SP, Brasil",2024-03-15,33.7,22.2,28.0,33.2,22.2,28.3,18.2,57.8,0.0,12.9,0.0,,0,0,17.6,19.4,357.0,1014.6,12.7,15.3,213.2,18.5,8,30,2024-03-15T06:08:28,2024-03-15T18:21:56,0.18,Clear,Clear conditions throughout the day.,clear-day,"SBMT,SBKP,F7461,SBSP,SBGR"
5,"São Paulo, SP, Brasil",2024-03-16,34.3,22.8,28.5,33.9,22.8,28.4,17.1,53.4,0.0,6.5,0.0,,0,0,18.4,19.1,326.5,1009.9,31.0,24.1,291.3,25.0,10,10,2024-03-16T06:08:52,2024-03-16T18:20:58,0.21,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
6,"São Paulo, SP, Brasil",2024-03-17,34.7,23.7,28.3,35.2,23.7,28.6,18.1,55.9,4.4,41.9,20.83,rain,0,0,27.0,19.8,300.9,1011.2,42.9,23.1,254.7,22.0,10,60,2024-03-17T06:09:16,2024-03-17T18:19:59,0.25,Partially cloudy,Becoming cloudy in the afternoon with storms possible.,partly-cloudy-day,
7,"São Paulo, SP, Brasil",2024-03-18,33.6,22.6,27.2,34.4,22.6,27.9,20.2,68.8,2.9,61.3,33.33,rain,0,0,24.1,14.8,32.0,1011.1,77.9,24.1,222.0,19.1,9,60,2024-03-18T06:09:40,2024-03-18T18:19:00,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
