,datetime,tempmin,temp,tempmax
0,2024-03-14,21.0,26.0,32.9
1,2024-03-15,22.0,27.8,34.0
2,2024-03-16,23.2,28.7,34.5
3,2024-03-17,23.8,28.8,34.7
4,2024-03-18,23.1,28.0,33.2
5,2024-03-19,23.3,27.4,32.9
6,2024-03-20,22.7,27.6,33.2
7,2024-03-21,21.9,26.4,32.8
